annee,hydrauliques,nucleaires,thermiques,renouvelables,production_nationale_brute,pompage,production_nette
1575,5,0,0,0,5,0,5
1576,5,0,0,0,5,0,5
1577,6,0,0,0,6,0,6
1578,5,0,0,0,5,0,5
1579,5,0,0,0,5,0,5
1580,6,0,0,0,6,0,6
1581,6,0,0,0,6,0,6
1582,6,0,0,0,6,0,6
1583,6,0,0,0,6,0,6
1584,6,0,0,0,6,0,6
1585,6,0,0,0,6,0,6
1586,7,0,0,0,7,0,7
1587,6,0,0,0,6,0,6
1588,6,0,0,0,6,0,6
1589,7,0,0,0,7,0,7
1590,6,0,0,0,6,0,6
1591,6,0,0,0,6,0,6
1592,7,0,0,0,7,0,7
1593,7,0,0,0,7,0,7
1594,6,0,0,0,6,0,6
1595,7,0,0,0,7,0,7
1596,7,0,0,0,7,0,7
1597,7,0,0,0,7,0,7
1598,7,0,0,0,7,0,7
1599,7,0,0,0,7,0,7
1600,7,0,0,0,7,0,7
1601,7,0,0,0,7,0,7
1602,8,0,0,0,8,0,8
1603,7,0,0,0,7,0,7
1604,8,0,0,0,8,0,8
1605,8,0,0,0,8,0,8
1606,8,0,0,0,8,0,8
1607,8,0,0,0,8,0,8
1608,7,0,0,0,7,0,7
1609,7,0,0,0,7,0,7
1610,8,0,0,0,8,0,8
1611,7,0,0,0,7,0,7
1612,8,0,0,0,8,0,8
1613,8,0,0,0,8,0,8
1614,8,0,0,0,8,0,8
1615,8,0,0,0,8,0,8
1616,9,0,0,0,9,0,9
1617,7,0,0,0,7,0,7
1618,8,0,0,0,8,0,8
1619,8,0,0,0,8,0,8
1620,9,0,0,0,9,0,9
1621,8,0,0,0,8,0,8
1622,9,0,0,0,9,0,9
1623,10,0,0,0,10,0,10
1624,10,0,0,0,10,0,10
1625,8,0,0,0,8,0,8
1626,9,0,0,0,9,0,9
1627,9,0,0,0,9,0,9
1628,8,0,0,0,8,0,8
1629,10,0,0,0,10,0,10
1630,10,0,0,0,10,0,10
1631,10,0,0,0,10,0,10
1632,9,0,0,0,9,0,9
1633,8,0,0,0,8,0,8
1634,9,0,0,0,9,0,9
1635,10,0,0,0,10,0,10
1636,9,0,0,0,9,0,9
1637,10,0,0,0,10,0,10
1638,9,0,0,0,9,0,9
1639,9,0,0,0,9,0,9
1640,10,0,0,0,10,0,10
1641,10,0,0,0,10,0,10
1642,10,0,0,0,10,0,10
1643,10,0,0,0,10,0,10
1644,11,0,0,0,11,0,11
1645,9,0,0,0,9,0,9
1646,10,0,0,0,10,0,10
1647,10,0,0,0,10,0,10
1648,11,0,0,0,11,0,11
1649,10,0,0,0,10,0,10
1650,11,0,0,0,11,0,11
1651,12,0,0,0,12,0,12
1652,11,0,0,0,11,0,11
1653,11,0,0,0,11,0,11
1654,12,0,0,0,12,0,12
1655,11,0,0,0,11,0,11
1656,11,0,0,0,11,0,11
1657,12,0,0,0,12,0,12
1658,11,0,0,0,11,0,11
1659,11,0,0,0,11,0,11
1660,13,0,0,0,13,0,13
1661,11,0,0,0,11,0,11
1662,12,0,0,0,12,0,12
1663,12,0,0,0,12,0,12
1664,12,0,0,0,12,0,12
1665,12,0,0,0,12,0,12
1666,12,0,0,0,12,0,12
1667,11,0,0,0,11,0,11
1668,12,0,0,0,12,0,12
1669,12,0,0,0,12,0,12
1670,11,0,0,0,11,0,11
1671,12,0,0,0,12,0,12
1672,12,0,0,0,12,0,12
1673,12,0,0,0,12,0,12
1674,11,0,0,0,11,0,11
1675,12,0,0,0,12,0,12
1676,14,0,0,0,14,0,14
1677,12,0,0,0,12,0,12
1678,14,0,0,0,14,0,14
1679,13,0,0,0,13,0,13
1680,13,0,0,0,13,0,13
1681,12,0,0,0,12,0,12
1682,14,0,0,0,14,0,14
1683,14,0,0,0,14,0,14
1684,12,0,0,0,12,0,12
1685,12,0,0,0,12,0,12
1686,12,0,0,0,12,0,12
1687,14,0,0,0,14,0,14
1688,13,0,0,0,13,0,13
1689,15,0,0,0,15,0,15
1690,13,0,0,0,13,0,13
1691,12,0,0,0,12,0,12
1692,13,0,0,0,13,0,13
1693,12,0,0,0,12,0,12
1694,14,0,0,0,14,0,14
1695,14,0,0,0,14,0,14
1696,14,0,0,0,14,0,14
1697,15,0,0,0,15,0,15
1698,15,0,0,0,15,0,15
1699,14,0,0,0,14,0,14
1700,15,0,0,0,15,0,15
1701,16,0,0,0,16,0,16
1702,15,0,0,0,15,0,15
1703,16,0,0,0,16,0,16
1704,16,0,0,0,16,0,16
1705,15,0,0,0,15,0,15
1706,16,0,0,0,16,0,16
1707,15,0,0,0,15,0,15
1708,14,0,0,0,14,0,14
1709,16,0,0,0,16,0,16
1710,15,0,0,0,15,0,15
1711,17,0,0,0,17,0,17
1712,16,0,0,0,16,0,16
1713,16,0,0,0,16,0,16
1714,14,0,0,0,14,0,14
1715,14,0,0,0,14,0,14
1716,15,0,0,0,15,0,15
1717,14,0,0,0,14,0,14
1718,16,0,0,0,16,0,16
1719,14,0,0,0,14,0,14
1720,17,0,0,0,17,0,17
1721,14,0,0,0,14,0,14
1722,15,0,0,0,15,0,15
1723,18,0,0,0,18,0,18
1724,15,0,0,0,15,0,15
1725,16,0,0,0,16,0,16
1726,16,0,0,0,16,0,16
1727,15,0,0,0,15,0,15
1728,18,0,0,0,18,0,18
1729,18,0,0,0,18,0,18
1730,15,0,0,0,15,0,15
1731,18,0,0,0,18,0,18
1732,15,0,0,0,15,0,15
1733,16,0,0,0,16,0,16
1734,18,0,0,0,18,0,18
1735,16,0,0,0,16,0,16
1736,15,0,0,0,15,0,15
1737,17,0,0,0,17,0,17
1738,18,0,0,0,18,0,18
1739,18,0,0,0,18,0,18
1740,17,0,0,0,17,0,17
1741,16,0,0,0,16,0,16
1742,17,0,0,0,17,0,17
1743,17,0,0,0,17,0,17
1744,18,0,0,0,18,0,18
1745,18,0,0,0,18,0,18
1746,17,0,0,0,17,0,17
1747,20,0,0,0,20,0,20
1748,17,0,0,0,17,0,17
1749,17,0,0,0,17,0,17
1750,16,0,0,0,16,0,16
1751,20,0,0,0,20,0,20
1752,19,0,0,0,19,0,19
1753,18,0,0,0,18,0,18
1754,18,0,0,0,18,0,18
1755,17,0,0,0,17,0,17
1756,17,0,0,0,17,0,17
1757,20,0,0,0,20,0,20
1758,18,0,0,0,18,0,18
1759,18,0,0,0,18,0,18
1760,18,0,0,0,18,0,18
1761,17,0,0,0,17,0,17
1762,18,0,0,0,18,0,18
1763,19,0,0,0,19,0,19
1764,20,0,0,0,20,0,20
1765,17,0,0,0,17,0,17
1766,17,0,0,0,17,0,17
1767,18,0,0,0,18,0,18
1768,18,0,0,0,18,0,18
1769,19,0,0,0,19,0,19
1770,17,0,0,0,17,0,17
1771,17,0,0,0,17,0,17
1772,17,0,0,0,17,0,17
1773,20,0,0,0,20,0,20
1774,21,0,0,0,21,0,21
1775,17,0,0,0,17,0,17
1776,22,0,0,0,22,0,22
1777,18,0,0,0,18,0,18
1778,22,0,0,0,22,0,22
1779,18,0,0,0,18,0,18
1780,18,0,0,0,18,0,18
1781,19,0,0,0,19,0,19
1782,21,0,0,0,21,0,21
1783,20,0,0,0,20,0,20
1784,20,0,0,0,20,0,20
1785,22,0,0,0,22,0,22
1786,20,0,0,0,20,0,20
1787,21,0,0,0,21,0,21
1788,23,0,0,0,23,0,23
1789,21,0,0,0,21,0,21
1790,23,0,0,0,23,0,23
1791,21,0,0,0,21,0,21
1792,20,0,0,0,20,0,20
1793,21,0,0,0,21,0,21
1794,19,0,0,0,19,0,19
1795,20,0,0,0,20,0,20
1796,22,0,0,0,22,0,22
1797,23,0,0,0,23,0,23
1798,20,0,0,0,20,0,20
1799,20,0,0,0,20,0,20
1800,23,0,0,0,23,0,23
1801,20,0,0,0,20,0,20
1802,24,0,0,0,24,0,24
1803,20,0,0,0,20,0,20
1804,21,0,0,0,21,0,21
1805,20,0,0,0,20,0,20
1806,23,0,0,0,23,0,23
1807,21,0,0,0,21,0,21
1808,23,0,0,0,23,0,23
1809,24,0,0,0,24,0,24
1810,20,0,0,0,20,0,20
1811,20,0,0,0,20,0,20
1812,22,0,0,0,22,0,22
1813,25,0,0,0,25,0,25
1814,23,0,0,0,23,0,23
1815,24,0,0,0,24,0,24
1816,20,0,0,0,20,0,20
1817,22,0,0,0,22,0,22
1818,24,0,0,0,24,0,24
1819,25,0,0,0,25,0,25
1820,22,0,0,0,22,0,22
1821,25,0,0,0,25,0,25
1822,25,0,0,0,25,0,25
1823,21,0,0,0,21,0,21
1824,24,0,0,0,24,0,24
1825,22,0,0,0,22,0,22
1826,26,0,0,0,26,0,26
1827,23,0,0,0,23,0,23
1828,23,0,0,0,23,0,23
1829,24,0,0,0,24,0,24
1830,24,0,0,0,24,0,24
1831,25,0,0,0,25,0,25
1832,22,0,0,0,22,0,22
1833,24,0,0,0,24,0,24
1834,25,0,0,0,25,0,25
1835,24,0,0,0,24,0,24
1836,25,0,0,0,25,0,25
1837,25,0,0,0,25,0,25
1838,24,0,0,0,24,0,24
1839,25,0,0,0,25,0,25
1840,26,0,0,0,26,0,26
1841,25,0,0,0,25,0,25
1842,24,0,0,0,24,0,24
1843,22,0,0,0,22,0,22
1844,26,0,0,0,26,0,26
1845,27,0,0,0,27,0,27
1846,26,0,0,0,26,0,26
1847,23,0,0,0,23,0,23
1848,24,0,0,0,24,0,24
1849,27,0,0,0,27,0,27
1850,28,0,5,0,33,0,33
1851,42,0,12,0,54,0,54
1852,45,0,20,0,65,0,65
1853,57,0,27,0,84,0,84
1854,76,0,33,0,109,0,109
1855,78,0,39,0,117,0,117
1856,91,0,48,0,139,0,139
1857,106,0,50,0,156,0,156
1858,122,0,62,0,184,0,184
1859,131,0,63,0,194,0,194
1860,132,0,77,0,209,0,209
1861,172,0,84,0,256,0,256
1862,196,0,88,0,284,0,284
1863,197,0,99,0,296,0,296
1864,220,0,96,0,316,0,316
1865,210,0,106,0,316,0,316
1866,210,0,122,0,332,0,332
1867,211,0,114,0,325,0,325
1868,245,0,134,0,379,0,379
1869,233,0,138,0,371,0,371
1870,307,0,139,0,446,0,446
1871,278,0,145,0,423,0,423
1872,327,0,157,0,484,0,484
1873,341,0,176,0,517,0,517
1874,330,0,160,0,490,0,490
1875,300,0,185,0,485,0,485
1876,372,0,191,0,563,0,563
1877,384,0,182,0,566,0,566
1878,414,0,190,0,604,0,604
1879,414,0,205,0,619,0,619
1880,363,0,206,0,569,0,569
1881,449,0,214,0,663,0,663
1882,378,0,232,0,610,0,610
1883,407,0,224,0,631,0,631
1884,468,0,226,0,694,0,694
1885,487,0,253,0,740,0,740
1886,488,0,262,0,750,0,750
1887,443,0,269,0,712,0,712
1888,482,0,264,0,746,0,746
1889,556,0,273,0,829,0,829
1890,546,0,292,0,838,0,838
1891,504,0,303,0,807,0,807
1892,502,0,303,0,805,0,805
1893,575,0,302,0,877,0,877
1894,518,0,325,0,843,0,843
1895,539,0,300,0,839,0,839
1896,668,0,324,0,992,0,992
1897,612,0,338,0,950,0,950
1898,617,0,363,0,980,0,980
1899,603,0,326,0,929,0,929
1900,620,0,356,0,976,8,968
1901,898,0,380,0,1278,11,1267
1902,1087,0,395,1,1483,16,1467
1903,1294,0,489,1,1784,18,1766
1904,1672,0,485,1,2158,29,2129
1905,1921,0,500,2,2423,13,2410
1906,2109,0,561,2,2672,16,2656
1907,2648,0,582,2,3232,43,3189
1908,3122,0,654,2,3778,45,3733
1909,2757,0,655,3,3415,32,3383
1910,3128,0,708,3,3839,25,3814
1911,3725,0,721,3,4449,25,4424
1912,3823,0,842,4,4669,44,4625
1913,4383,0,841,4,5228,54,5174
1914,4831,0,811,4,5646,83,5563
1915,4832,0,956,4,5792,67,5725
1916,5148,0,895,5,6048,67,5981
1917,5074,0,1030,5,6109,87,6022
1918,4955,0,1042,5,6002,55,5947
1919,5664,0,1048,6,6718,91,6627
1920,6262,0,1023,6,7291,99,7192
1921,5994,0,1193,6,7193,72,7121
1922,6862,0,1223,7,8092,52,8040
1923,8166,0,1298,7,9471,70,9401
1924,8414,0,1254,7,9675,128,9547
1925,8866,0,1361,8,10235,66,10169
1926,10110,0,1307,8,11425,141,11284
1927,8753,0,1359,8,10120,58,10062
1928,11264,0,1500,8,12772,139,12633
1929,10224,0,1470,9,11703,124,11579
1930,11898,0,1382,9,13289,121,13168
1931,12293,0,1436,9,13738,132,13606
1932,13116,0,1647,10,14773,111,14662
1933,13083,0,1566,10,14659,84,14575
1934,13735,0,1767,10,15512,114,15398
1935,13768,0,1780,10,15558,124,15434
1936,13375,0,1756,11,15142,198,14944
1937,14517,0,1805,11,16333,94,16239
1938,14443,0,1862,11,16316,189,16127
1939,17589,0,1801,12,19402,279,19123
1940,18680,0,1790,12,20482,141,20341
1941,17930,0,1813,12,19755,275,19480
1942,19539,0,1802,13,21354,191,21163
1943,18030,0,2097,13,20140,106,20034
1944,21010,0,1963,13,22986,127,22859
1945,20523,0,2033,14,22570,226,22344
1946,21933,0,2046,14,23993,134,23859
1947,19810,0,1950,14,21774,324,21450
1948,22679,0,2056,14,24749,228,24521
1949,21096,0,2113,15,23224,216,23008
1950,24152,0,2281,15,26448,899,25549
1951,22003,0,2198,15,24216,597,23619
1952,25767,0,2348,16,28131,1209,26922
1953,23240,0,2235,16,25491,1097,24394
1954,27059,0,2335,16,29410,1181,28229
1955,26960,0,2232,16,29208,762,28446
1956,22824,0,2283,17,25124,593,24531
1957,24165,0,2494,17,26676,1184,25492
1958,29353,0,2395,17,31765,647,31118
1959,25482,0,2505,18,28005,1204,26801
1960,27793,0,2397,18,30208,1110,29098
1961,31502,0,2365,18,33885,680,33205
1962,29085,0,2319,19,31423,1399,30024
1963,31776,0,2334,19,34129,1302,32827
1964,31001,0,2175,19,33195,1619,31576
1965,28185,0,2086,20,30291,958,29333
1966,28666,0,2221,20,30907,1536,29371
1967,28289,0,1953,20,30262,615,29647
1968,29267,0,2003,20,31290,1498,29792
1969,32140,900,1879,21,34940,1692,33248
1970,31273,1850,1763,0,34886,965,33921
1971,27563,1843,2181,0,31587,1377,30210
1972,25277,4650,2371,0,32298,1644,30654
1973,28825,5896,2434,0,37155,1724,35431
1974,28563,6730,2117,0,37410,1541,35869
1975,33974,7391,1629,0,42994,1198,41796
1976,26622,7561,2058,0,36241,1344,34897
1977,36290,7728,1885,0,45903,1277,44626
1978,32510,7995,1845,0,42350,1361,40989
1979,32345,11243,1963,0,45551,1586,43965
1980,33542,13663,957,0,48162,1531,46631
1981,36097,14462,956,0,51515,1395,50120
1982,37035,14276,974,0,52285,1532,50753
1983,36002,14821,996,0,51819,1346,50473
1984,30872,17396,884,0,49152,1444,47708
1985,32677,21281,869,0,54827,1364,53463
1986,33589,21303,988,0,55880,1461,54419
1987,35412,21701,1048,0,58161,1564,56597
1988,36439,21502,1023,0,58964,1445,57519
1989,30485,21543,1082,0,53110,1454,51656
1990,30675,22298,1013,88,54074,1695,52379
1991,33082,21654,1247,95,56078,1946,54132
1992,33725,22121,1393,109,57348,1438,55910
1993,36253,22029,913,118,59313,1186,58127
1994,39556,22984,988,133,63661,1271,62390
1995,35597,23486,1137,138,60358,1520,58838
1996,29698,23719,1556,147,55120,1754,53366
1997,34794,23971,1686,149,60600,1519,59081
1998,34295,24368,2124,161,60948,1620,59328
1999,40616,23523,2386,168,66693,1408,65285
2000,37851,24949,2372,176,65348,1974,63374
2001,42261,25293,2433,187,70174,1947,68227
2002,36513,25692,2612,194,65011,2418,62593
2003,36445,25931,2689,201,65266,2893,62373
2004,35117,25432,2776,198,63523,2433,61090
2005,32759,22020,2932,207,57918,2631,55287
2006,32557,26244,3103,237,62141,2720,59421
2007,36373,26344,2894,305,65916,2104,63812
2008,37559,26132,2913,363,66967,2685,64282
2009,37136,26119,2817,422,66494,2523,63971
2010,37450,25205,3123,474,66252,2494,63758
2011,33795,25560,2866,660,62881,2466,60415
2012,39906,24345,2869,899,68019,2411,65608
2013,39572,24871,2722,1147,68312,2132,66180
2014,39308,26370,2449,1506,69633,2355,67278
2015,39486,22095,2661,1715,65957,2296,63661
2016,36326,20235,3069,1986,61616,2922,58694
2017,36666,19499,2851,2471,61487,4160,57327
2018,37428,24414,3008,2708,67558,3987,63571
2019,40556,25280,3050,3008,71894,4133,67761
2020,40616,22990,3046,3679,70331,4459,65872
2021,39500,18530,2849,4079,64958,4145,60813
2022,33501,23113,2686,5220,64520,5567,58953
2023,40780,23334,2494,6136,72744,5375,67369
2024,48337,22983,2530,7204,81054,4817,76237
2025,37485,18379,2469,9189,67522,5215,62307
