Production d��lectricit�;;;;;;;T 8.2.2.1
En GWh;;;;;;;
;;;;;;;
;;;;;;;
;Centrales ;Centrales ;Centrales thermiques classiques;Renouvelables ;Production nationale (brute);;Production nette 
1668;12;0;0;0;12;0;12
1669;12;0;0;0;12;0;12
1670;11;0;0;0;11;0;11
1671;12;0;0;0;12;0;12
1672;12;0;0;0;12;0;12
1673;12;0;0;0;12;0;12
1674;11;0;0;0;11;0;11
1675;12;0;0;0;12;0;12
1676;14;0;0;0;14;0;14
1677;12;0;0;0;12;0;12
1678;14;0;0;0;14;0;14
1679;13;0;0;0;13;0;13
1680;13;0;0;0;13;0;13
1681;12;0;0;0;12;0;12
1682;14;0;0;0;14;0;14
1683;14;0;0;0;14;0;14
1684;12;0;0;0;12;0;12
1685;12;0;0;0;12;0;12
1686;12;0;0;0;12;0;12
1687;14;0;0;0;14;0;14
1688;13;0;0;0;13;0;13
1689;15;0;0;0;15;0;15
1690;13;0;0;0;13;0;13
1691;12;0;0;0;12;0;12
1692;13;0;0;0;13;0;13
1693;12;0;0;0;12;0;12
1694;14;0;0;0;14;0;14
1695;14;0;0;0;14;0;14
1696;14;0;0;0;14;0;14
1697;15;0;0;0;15;0;15
1698;15;0;0;0;15;0;15
1699;14;0;0;0;14;0;14
1700;15;0;0;0;15;0;15
1701;16;0;0;0;16;0;16
1702;15;0;0;0;15;0;15
1703;16;0;0;0;16;0;16
1704;16;0;0;0;16;0;16
1705;15;0;0;0;15;0;15
1706;16;0;0;0;16;0;16
1707;15;0;0;0;15;0;15
1708;14;0;0;0;14;0;14
1709;16;0;0;0;16;0;16
1710;15;0;0;0;15;0;15
1711;17;0;0;0;17;0;17
1712;16;0;0;0;16;0;16
1713;16;0;0;0;16;0;16
1714;14;0;0;0;14;0;14
1715;14;0;0;0;14;0;14
1716;15;0;0;0;15;0;15
1717;14;0;0;0;14;0;14
1718;16;0;0;0;16;0;16
1719;14;0;0;0;14;0;14
1720;17;0;0;0;17;0;17
1721;14;0;0;0;14;0;14
1722;15;0;0;0;15;0;15
1723;18;0;0;0;18;0;18
1724;15;0;0;0;15;0;15
1725;16;0;0;0;16;0;16
1726;16;0;0;0;16;0;16
1727;15;0;0;0;15;0;15
1728;18;0;0;0;18;0;18
1729;18;0;0;0;18;0;18
1730;15;0;0;0;15;0;15
1731;18;0;0;0;18;0;18
1732;15;0;0;0;15;0;15
1733;16;0;0;0;16;0;16
1734;18;0;0;0;18;0;18
1735;16;0;0;0;16;0;16
1736;15;0;0;0;15;0;15
1737;17;0;0;0;17;0;17
1738;18;0;0;0;18;0;18
1739;18;0;0;0;18;0;18
1740;17;0;0;0;17;0;17
1741;16;0;0;0;16;0;16
1742;17;0;0;0;17;0;17
1743;17;0;0;0;17;0;17
1744;18;0;0;0;18;0;18
1745;18;0;0;0;18;0;18
1746;17;0;0;0;17;0;17
1747;20;0;0;0;20;0;20
1748;17;0;0;0;17;0;17
1749;17;0;0;0;17;0;17
1750;16;0;0;0;16;0;16
1751;20;0;0;0;20;0;20
1752;19;0;0;0;19;0;19
1753;18;0;0;0;18;0;18
1754;18;0;0;0;18;0;18
1755;17;0;0;0;17;0;17
1756;17;0;0;0;17;0;17
1757;20;0;0;0;20;0;20
1758;18;0;0;0;18;0;18
1759;18;0;0;0;18;0;18
1760;18;0;0;0;18;0;18
1761;17;0;0;0;17;0;17
1762;18;0;0;0;18;0;18
1763;19;0;0;0;19;0;19
1764;20;0;0;0;20;0;20
1765;17;0;0;0;17;0;17
1766;17;0;0;0;17;0;17
1767;18;0;0;0;18;0;18
1768;18;0;0;0;18;0;18
1769;19;0;0;0;19;0;19
1770;17;0;0;0;17;0;17
1771;17;0;0;0;17;0;17
1772;17;0;0;0;17;0;17
1773;20;0;0;0;20;0;20
1774;21;0;0;0;21;0;21
1775;17;0;0;0;17;0;17
1776;22;0;0;0;22;0;22
1777;18;0;0;0;18;0;18
1778;22;0;0;0;22;0;22
1779;18;0;0;0;18;0;18
1780;18;0;0;0;18;0;18
1781;19;0;0;0;19;0;19
1782;21;0;0;0;21;0;21
1783;20;0;0;0;20;0;20
1784;20;0;0;0;20;0;20
1785;22;0;0;0;22;0;22
1786;20;0;0;0;20;0;20
1787;21;0;0;0;21;0;21
1788;23;0;0;0;23;0;23
1789;21;0;0;0;21;0;21
1790;23;0;0;0;23;0;23
1791;21;0;0;0;21;0;21
1792;20;0;0;0;20;0;20
1793;21;0;0;0;21;0;21
1794;19;0;0;0;19;0;19
1795;20;0;0;0;20;0;20
1796;22;0;0;0;22;0;22
1797;23;0;0;0;23;0;23
1798;20;0;0;0;20;0;20
1799;20;0;0;0;20;0;20
1800;23;0;0;0;23;0;23
1801;20;0;0;0;20;0;20
1802;24;0;0;0;24;0;24
1803;20;0;0;0;20;0;20
1804;21;0;0;0;21;0;21
1805;20;0;0;0;20;0;20
1806;23;0;0;0;23;0;23
1807;21;0;0;0;21;0;21
1808;23;0;0;0;23;0;23
1809;24;0;0;0;24;0;24
1810;20;0;0;0;20;0;20
1811;20;0;0;0;20;0;20
1812;22;0;0;0;22;0;22
1813;25;0;0;0;25;0;25
1814;23;0;0;0;23;0;23
1815;24;0;0;0;24;0;24
1816;20;0;0;0;20;0;20
1817;22;0;0;0;22;0;22
1818;24;0;0;0;24;0;24
1819;25;0;0;0;25;0;25
1820;22;0;0;0;22;0;22
1821;25;0;0;0;25;0;25
1822;25;0;0;0;25;0;25
1823;21;0;0;0;21;0;21
1824;24;0;0;0;24;0;24
1825;22;0;0;0;22;0;22
1826;26;0;0;0;26;0;26
1827;23;0;0;0;23;0;23
1828;23;0;0;0;23;0;23
1829;24;0;0;0;24;0;24
1830;24;0;0;0;24;0;24
1831;25;0;0;0;25;0;25
1832;22;0;0;0;22;0;22
1833;24;0;0;0;24;0;24
1834;25;0;0;0;25;0;25
1835;24;0;0;0;24;0;24
1836;25;0;0;0;25;0;25
1837;25;0;0;0;25;0;25
1838;24;0;0;0;24;0;24
1839;25;0;0;0;25;0;25
1840;26;0;0;0;26;0;26
1841;25;0;0;0;25;0;25
1842;24;0;0;0;24;0;24
1843;22;0;0;0;22;0;22
1844;26;0;0;0;26;0;26
1845;27;0;0;0;27;0;27
1846;26;0;0;0;26;0;26
1847;23;0;0;0;23;0;23
1848;24;0;0;0;24;0;24
1849;27;0;0;0;27;0;27
1850;28;0;5;0;33;0;33
1851;42;0;12;0;54;0;54
1852;45;0;20;0;65;0;65
1853;57;0;27;0;84;0;84
1854;76;0;33;0;109;0;109
1855;78;0;39;0;117;0;117
1856;91;0;48;0;139;0;139
1857;106;0;50;0;156;0;156
1858;122;0;62;0;184;0;184
1859;131;0;63;0;194;0;194
1860;132;0;77;0;209;0;209
1861;172;0;84;0;256;0;256
1862;196;0;88;0;284;0;284
1863;197;0;99;0;296;0;296
1864;220;0;96;0;316;0;316
1865;210;0;106;0;316;0;316
1866;210;0;122;0;332;0;332
1867;211;0;114;0;325;0;325
1868;245;0;134;0;379;0;379
1869;233;0;138;0;371;0;371
1870;307;0;139;0;446;0;446
1871;278;0;145;0;423;0;423
1872;327;0;157;0;484;0;484
1873;341;0;176;0;517;0;517
1874;330;0;160;0;490;0;490
1875;300;0;185;0;485;0;485
1876;372;0;191;0;563;0;563
1877;384;0;182;0;566;0;566
1878;414;0;190;0;604;0;604
1879;414;0;205;0;619;0;619
1880;363;0;206;0;569;0;569
1881;449;0;214;0;663;0;663
1882;378;0;232;0;610;0;610
1883;407;0;224;0;631;0;631
1884;468;0;226;0;694;0;694
1885;487;0;253;0;740;0;740
1886;488;0;262;0;750;0;750
1887;443;0;269;0;712;0;712
1888;482;0;264;0;746;0;746
1889;556;0;273;0;829;0;829
1890;546;0;292;0;838;0;838
1891;504;0;303;0;807;0;807
1892;502;0;303;0;805;0;805
1893;575;0;302;0;877;0;877
1894;518;0;325;0;843;0;843
1895;539;0;300;0;839;0;839
1896;668;0;324;0;992;0;992
1897;612;0;338;0;950;0;950
1898;617;0;363;0;980;0;980
1899;603;0;326;0;929;0;929
1900;620;0;356;0;976;8;968
1901;898;0;380;0;1 278;11;1 267
1902;1 087;0;395;1;1 483;16;1 467
1903;1 294;0;489;1;1 784;18;1 766
1904;1 672;0;485;1;2 158;29;2 129
1905;1 921;0;500;2;2 423;13;2 410
1906;2 109;0;561;2;2 672;16;2 656
1907;2 648;0;582;2;3 232;43;3 189
1908;3 122;0;654;2;3 778;45;3 733
1909;2 757;0;655;3;3 415;32;3 383
1910;3 128;0;708;3;3 839;25;3 814
1911;3 725;0;721;3;4 449;25;4 424
1912;3 823;0;842;4;4 669;44;4 625
1913;4 383;0;841;4;5 228;54;5 174
1914;4 831;0;811;4;5 646;83;5 563
1915;4 832;0;956;4;5 792;67;5 725
1916;5 148;0;895;5;6 048;67;5 981
1917;5 074;0;1 030;5;6 109;87;6 022
1918;4 955;0;1 042;5;6 002;55;5 947
1919;5 664;0;1 048;6;6 718;91;6 627
1920;6 262;0;1 023;6;7 291;99;7 192
1921;5 994;0;1 193;6;7 193;72;7 121
1922;6 862;0;1 223;7;8 092;52;8 040
1923;8 166;0;1 298;7;9 471;70;9 401
1924;8 414;0;1 254;7;9 675;128;9 547
1925;8 866;0;1 361;8;10 235;66;10 169
1926;10 110;0;1 307;8;11 425;141;11 284
1927;8 753;0;1 359;8;10 120;58;10 062
1928;11 264;0;1 500;8;12 772;139;12 633
1929;10 224;0;1 470;9;11 703;124;11 579
1930;11 898;0;1 382;9;13 289;121;13 168
1931;12 293;0;1 436;9;13 738;132;13 606
1932;13 116;0;1 647;10;14 773;111;14 662
1933;13 083;0;1 566;10;14 659;84;14 575
1934;13 735;0;1 767;10;15 512;114;15 398
1935;13 768;0;1 780;10;15 558;124;15 434
1936;13 375;0;1 756;11;15 142;198;14 944
1937;14 517;0;1 805;11;16 333;94;16 239
1938;14 443;0;1 862;11;16 316;189;16 127
1939;17 589;0;1 801;12;19 402;279;19 123
1940;18 680;0;1 790;12;20 482;141;20 341
1941;17 930;0;1 813;12;19 755;275;19 480
1942;19 539;0;1 802;13;21 354;191;21 163
1943;18 030;0;2 097;13;20 140;106;20 034
1944;21 010;0;1 963;13;22 986;127;22 859
1945;20 523;0;2 033;14;22 570;226;22 344
1946;21 933;0;2 046;14;23 993;134;23 859
1947;19 810;0;1 950;14;21 774;324;21 450
1948;22 679;0;2 056;14;24 749;228;24 521
1949;21 096;0;2 113;15;23 224;216;23 008
1950;24 152;0;2 281;15;26 448;899;25 549
1951;22 003;0;2 198;15;24 216;597;23 619
1952;25 767;0;2 348;16;28 131;1 209;26 922
1953;23 240;0;2 235;16;25 491;1 097;24 394
1954;27 059;0;2 335;16;29 410;1 181;28 229
1955;26 960;0;2 232;16;29 208;762;28 446
1956;22 824;0;2 283;17;25 124;593;24 531
1957;24 165;0;2 494;17;26 676;1 184;25 492
1958;29 353;0;2 395;17;31 765;647;31 118
1959;25 482;0;2 505;18;28 005;1 204;26 801
1960;27 793;0;2 397;18;30 208;1 110;29 098
1961;31 502;0;2 365;18;33 885;680;33 205
1962;29 085;0;2 319;19;31 423;1 399;30 024
1963;31 776;0;2 334;19;34 129;1 302;32 827
1964;31 001;0;2 175;19;33 195;1 619;31 576
1965;28 185;0;2 086;20;30 291;958;29 333
1966;28 666;0;2 221;20;30 907;1 536;29 371
1967;28 289;0;1 953;20;30 262;615;29 647
1968;29 267;0;2 003;20;31 290;1 498;29 792
1969;32 140;900;1 879;21;34 940;1 692;33 248
1970;31 273;1 850;1 763;� ;34 886;965;33 921
1971;27 563;1 843;2 181;� ;31 587;1 377;30 210
1972;25 277;4 650;2 371;� ;32 298;1 644;30 654
1973;28 825;5 896;2 434;� ;37 155;1 724;35 431
1974;28 563;6 730;2 117;� ;37 410;1 541;35 869
1975;33 974;7 391;1 629;� ;42 994;1 198;41 796
1976;26 622;7 561;2 058;� ;36 241;1 344;34 897
1977;36 290;7 728;1 885;� ;45 903;1 277;44 626
1978;32 510;7 995;1 845;� ;42 350;1 361;40 989
1979;32 345;11 243;1 963;� ;45 551;1 586;43 965
1980;33 542;13 663;957;� ;48 162;1 531;46 631
1981;36 097;14 462;956;� ;51 515;1 395;50 120
1982;37 035;14 276;974;� ;52 285;1 532;50 753
1983;36 002;14 821;996;� ;51 819;1 346;50 473
1984;30 872;17 396;884;� ;49 152;1 444;47 708
1985;32 677;21 281;869;� ;54 827;1 364;53 463
1986;33 589;21 303;988;� ;55 880;1 461;54 419
1987;35 412;21 701;1 048;� ;58 161;1 564;56 597
1988;36 439;21 502;1 023;� ;58 964;1 445;57 519
1989;30 485;21 543;1 082;� ;53 110;1 454;51 656
1990;30 675;22 298;1 013;88;54 074;1 695;52 379
1991;33 082;21 654;1 247;95;56 078;1 946;54 132
1992;33 725;22 121;1 393;109;57 348;1 438;55 910
1993;36 253;22 029;913;118;59 313;1 186;58 127
1994;39 556;22 984;988;133;63 661;1 271;62 390
1995;35 597;23 486;1 137;138;60 358;1 520;58 838
1996;29 698;23 719;1 556;147;55 120;1 754;53 366
1997;34 794;23 971;1 686;149;60 600;1 519;59 081
1998;34 295;24 368;2 124;161;60 948;1 620;59 328
1999;40 616;23 523;2 386;168;66 693;1 408;65 285
2000;37 851;24 949;2 372;176;65 348;1 974;63 374
2001;42 261;25 293;2 433;187;70 174;1 947;68 227
2002;36 513;25 692;2 612;194;65 011;2 418;62 593
2003;36 445;25 931;2 689;201;65 266;2 893;62 373
2004;35 117;25 432;2 776;198;63 523;2 433;61 090
2005;32 759;22 020;2 932;207;57 918;2 631;55 287
2006;32 557;26 244;3 103;237;62 141;2 720;59 421
2007;36 373;26 344;2 894;305;65 916;2 104;63 812
2008;37 559;26 132;2 913;363;66 967;2 685;64 282
2009;37 136;26 119;2 817;422;66 494;2 523;63 971
2010;37 450;25 205;3 123;474;66 252;2 494;63 758
2011;33 795;25 560;2 866;660;62 881;2 466;60 415
2012;39 906;24 345;2 869;899;68 019;2 411;65 608
2013;39 572;24 871;2 722;1 147;68 312;2 132;66 180
2014;39 308;26 370;2 449;1 506;69 633;2 355;67 278
2015;39 486;22 095;2 661;1 715;65 957;2 296;63 661
2016;36 326;20 235;3 069;1 986;61 616;2 922;58 694
2017;36 666;19 499;2 851;2 471;61 487;4 160;57 327
2018;37 428;24 414;3 008;2 708;67 558;3 987;63 571
2019;40 556;25 280;3 050;3 008;71 894;4 133;67 761
2020;40 616;22 990;3 046;3 679;70 331;4 459;65 872
2021;39 500;18 530;2 849;4 079;64 958;4 145;60 813
2022;33 501;23 113;2 686;5 220;64 520;5 567;58 953
2023;40 780;23 334;2 494;6 136;72 744;5 375;67 369
2024;48 337;22 983;2 530;7 204;81 054;4 817;76 237
2025;37 485;18 379;2 469;9 189;67 522;5 215;62 307
;;;;;;;
"1) Chauffages au bois et en partie au bois, Installations � biogaz, Installations photovolta�ques, Eoliennes; Relev�s d�s 1990";;;;;;;
;;;;;;;
Office f�d�ral de l'�nergie, Statistique globale suisse de l��nergie ;;;;;;;
Renseignements: Giulia Lechthaler-Felber, 058 461 40 49, giulia.lechthaler@bfe.admin.ch;;;;;;;
�tat: juillet 2026;;;;;;;
� OFS 2026;;;;;;;
